hetnet	feature	nonzero	auroc	auprc	feature_type	permuted
rephetio-v2.0_perm-5	CpDrDaGdD	0.059042	0.51636	0.14033	dwpc	1
rephetio-v2.0	CpDrDaGuD	0.061457	0.52123	0.26502	dwpc	0
rephetio-v2.0_perm-1	CpDrDaGuD	0.058815	0.52029	0.14314	dwpc	1
rephetio-v2.0_perm-2	CpDrDaGuD	0.057396	0.52425	0.15167	dwpc	1
rephetio-v2.0_perm-3	CpDrDaGuD	0.063893	0.52991	0.15838	dwpc	1
rephetio-v2.0_perm-4	CpDrDaGuD	0.062794	0.52365	0.1538	dwpc	1
rephetio-v2.0_perm-5	CpDrDaGuD	0.058471	0.5219	0.15271	dwpc	1
rephetio-v2.0	CpDrDdGaD	0.11073	0.52722	0.25233	dwpc	0
rephetio-v2.0_perm-1	CpDrDdGaD	0.11363	0.52653	0.13686	dwpc	1
rephetio-v2.0_perm-2	CpDrDdGaD	0.1078	0.5364	0.15729	dwpc	1
rephetio-v2.0_perm-3	CpDrDdGaD	0.11416	0.52669	0.13842	dwpc	1
rephetio-v2.0_perm-4	CpDrDdGaD	0.086146	0.52516	0.14611	dwpc	1
rephetio-v2.0_perm-5	CpDrDdGaD	0.10496	0.52945	0.14965	dwpc	1
rephetio-v2.0	CpDrDdGdD	0.05298	0.51916	0.26787	dwpc	0
rephetio-v2.0_perm-1	CpDrDdGdD	0.052819	0.51554	0.1379	dwpc	1
rephetio-v2.0_perm-2	CpDrDdGdD	0.051685	0.526	0.1614	dwpc	1
rephetio-v2.0_perm-3	CpDrDdGdD	0.05509	0.52332	0.1533	dwpc	1
rephetio-v2.0_perm-4	CpDrDdGdD	0.042005	0.51889	0.15462	dwpc	1
rephetio-v2.0_perm-5	CpDrDdGdD	0.051768	0.52232	0.15502	dwpc	1
rephetio-v2.0	CpDrDdGuD	0.05298	0.51393	0.24564	dwpc	0
rephetio-v2.0_perm-1	CpDrDdGuD	0.05339	0.51604	0.13817	dwpc	1
rephetio-v2.0_perm-2	CpDrDdGuD	0.050114	0.52538	0.16085	dwpc	1
rephetio-v2.0_perm-3	CpDrDdGuD	0.050547	0.52064	0.15022	dwpc	1
rephetio-v2.0_perm-4	CpDrDdGuD	0.039869	0.51848	0.15518	dwpc	1
rephetio-v2.0_perm-5	CpDrDdGuD	0.045351	0.52137	0.15906	dwpc	1
rephetio-v2.0	CpDrDlAlD	0.14596	0.53523	0.26347	dwpc	0
rephetio-v2.0_perm-1	CpDrDlAlD	0.14847	0.52589	0.12909	dwpc	1
rephetio-v2.0_perm-2	CpDrDlAlD	0.14092	0.52878	0.1347	dwpc	1
rephetio-v2.0_perm-3	CpDrDlAlD	0.14908	0.52467	0.12627	dwpc	1
rephetio-v2.0_perm-4	CpDrDlAlD	0.14994	0.52642	0.13413	dwpc	1
rephetio-v2.0_perm-5	CpDrDlAlD	0.14889	0.52579	0.13149	dwpc	1
rephetio-v2.0	CpDrDpCpD	0.020397	0.52195	0.37775	dwpc	0
rephetio-v2.0_perm-1	CpDrDpCpD	0.022413	0.51348	0.16893	dwpc	1
rephetio-v2.0_perm-2	CpDrDpCpD	0.019275	0.51296	0.17544	dwpc	1
rephetio-v2.0_perm-3	CpDrDpCpD	0.021298	0.50733	0.14127	dwpc	1
rephetio-v2.0_perm-4	CpDrDpCpD	0.019792	0.51268	0.17342	dwpc	1
rephetio-v2.0_perm-5	CpDrDpCpD	0.016828	0.50614	0.14436	dwpc	1
rephetio-v2.0	CpDrDpCtD	0.029934	0.52348	0.33449	dwpc	0
rephetio-v2.0_perm-1	CpDrDpCtD	0.030264	0.51418	0.15434	dwpc	1
rephetio-v2.0_perm-2	CpDrDpCtD	0.025414	0.52349	0.20027	dwpc	1
rephetio-v2.0_perm-3	CpDrDpCtD	0.02144	0.51465	0.17501	dwpc	1
rephetio-v2.0_perm-4	CpDrDpCtD	0.031041	0.51601	0.16307	dwpc	1
rephetio-v2.0_perm-5	CpDrDpCtD	0.02239	0.51558	0.176	dwpc	1
rephetio-v2.0	CpDrDpSpD	0.14517	0.5358	0.26502	dwpc	0
rephetio-v2.0_perm-1	CpDrDpSpD	0.14675	0.52556	0.12741	dwpc	1
rephetio-v2.0_perm-2	CpDrDpSpD	0.13949	0.53014	0.13492	dwpc	1
rephetio-v2.0_perm-3	CpDrDpSpD	0.15008	0.52567	0.12754	dwpc	1
rephetio-v2.0_perm-4	CpDrDpSpD	0.14794	0.52554	0.1337	dwpc	1
rephetio-v2.0_perm-5	CpDrDpSpD	0.14832	0.52632	0.1321	dwpc	1
rephetio-v2.0	CpDrDrD	0.039735	0.52662	0.31905	dwpc	0
rephetio-v2.0_perm-1	CpDrDrD	0.076231	0.51623	0.12994	dwpc	1
rephetio-v2.0_perm-2	CpDrDrD	0.071959	0.51654	0.13423	dwpc	1
rephetio-v2.0_perm-3	CpDrDrD	0.072696	0.51284	0.1264	dwpc	1
rephetio-v2.0_perm-4	CpDrDrD	0.081162	0.51613	0.1279	dwpc	1
rephetio-v2.0_perm-5	CpDrDrD	0.075299	0.51128	0.12523	dwpc	1
rephetio-v2.0	CpDrDrDrD	0.077351	0.53394	0.28052	dwpc	0
rephetio-v2.0_perm-1	CpDrDrDrD	0.13762	0.52268	0.12601	dwpc	1
rephetio-v2.0_perm-2	CpDrDrDrD	0.12978	0.5257	0.13155	dwpc	1
rephetio-v2.0_perm-3	CpDrDrDrD	0.13332	0.52265	0.12732	dwpc	1
rephetio-v2.0_perm-4	CpDrDrDrD	0.13869	0.52751	0.13715	dwpc	1
rephetio-v2.0_perm-5	CpDrDrDrD	0.13691	0.52448	0.12848	dwpc	1
rephetio-v2.0	CpDrDtCpD	0.0087417	0.50776	0.34339	dwpc	0
rephetio-v2.0_perm-1	CpDrDtCpD	0.014276	0.50684	0.15465	dwpc	1
rephetio-v2.0_perm-2	CpDrDtCpD	0.01285	0.50169	0.12041	dwpc	1
rephetio-v2.0_perm-3	CpDrDtCpD	0.018884	0.50649	0.14245	dwpc	1
rephetio-v2.0_perm-4	CpDrDtCpD	0.016944	0.50608	0.14244	dwpc	1
rephetio-v2.0_perm-5	CpDrDtCpD	0.016543	0.50554	0.1399	dwpc	1
rephetio-v2.0	CpDrDtCtD	0.052185	0.54605	0.35854	dwpc	0
rephetio-v2.0_perm-1	CpDrDtCtD	0.092077	0.53335	0.15122	dwpc	1
rephetio-v2.0_perm-2	CpDrDtCtD	0.093232	0.53833	0.16442	dwpc	1
rephetio-v2.0_perm-3	CpDrDtCtD	0.1028	0.53257	0.15022	dwpc	1
rephetio-v2.0_perm-4	CpDrDtCtD	0.10081	0.53313	0.15622	dwpc	1
rephetio-v2.0_perm-5	CpDrDtCtD	0.10154	0.5303	0.14459	dwpc	1
rephetio-v2.0	CpDrDuGaD	0.11338	0.53473	0.26162	dwpc	0
rephetio-v2.0_perm-1	CpDrDuGaD	0.11335	0.52495	0.13746	dwpc	1
rephetio-v2.0_perm-2	CpDrDuGaD	0.11051	0.53578	0.15509	dwpc	1
rephetio-v2.0_perm-3	CpDrDuGaD	0.11955	0.52703	0.14024	dwpc	1
rephetio-v2.0_perm-4	CpDrDuGaD	0.086857	0.5266	0.14852	dwpc	1
rephetio-v2.0_perm-5	CpDrDuGaD	0.10796	0.53151	0.15186	dwpc	1
rephetio-v2.0	CpDrDuGdD	0.049007	0.50909	0.23791	dwpc	0
rephetio-v2.0_perm-1	CpDrDuGdD	0.052819	0.51416	0.13499	dwpc	1
rephetio-v2.0_perm-2	CpDrDuGdD	0.048972	0.52229	0.15573	dwpc	1
rephetio-v2.0_perm-3	CpDrDuGdD	0.052108	0.5228	0.1543	dwpc	1
